Date,const,lag10,lag21,lag63,coef_sum
2022-11-21,2.5655806375526083e-05,0.053993638866012945,-0.016170307362323035,0.7601468708841095,0.7979702023877994
2022-11-22,2.5705834576513745e-05,0.05276158617294481,-0.013612648501833732,0.7596390817783456,0.7987880194494567
2022-11-23,2.5765154806732613e-05,0.05143255189041633,-0.011012245547350995,0.7591917355939433,0.7996120419370086
2022-11-25,2.5838799058770146e-05,0.04979462215428366,-0.007704787934286566,0.7585310574990753,0.8006208917190725
2022-11-28,2.5891058906879473e-05,0.04775165595564912,-0.0037153076615005706,0.7573344357494753,0.8013707840436239
2022-11-29,2.595654521097773e-05,0.04641338491660375,-0.0008224657537065014,0.7567017119392672,0.8022926311021644
2022-11-30,2.602069747044681e-05,0.04520245488962377,0.0016681933030954707,0.7562751112048639,0.8031457593975831
2022-12-01,2.612136091036715e-05,0.044231555261056085,0.003787761067742916,0.7557124503628785,0.8037317666916775
2022-12-02,2.6232361912791323e-05,0.043480612041619404,0.005617659498637677,0.7552454400895958,0.8043437116298529
2022-12-05,2.6362335835410926e-05,0.043003894432649806,0.006863090159839644,0.7549868200134198,0.8048538046059093
2022-12-06,2.6496162038611456e-05,0.042484737454714996,0.008280994248279282,0.7545407822009595,0.8053065139039538
2022-12-07,2.6631793659568187e-05,0.04145482337866105,0.010415656198045457,0.7539027368475514,0.8057732164242579
2022-12-08,2.6799606871827573e-05,0.04170835690661547,0.010229451989732949,0.7538877040517167,0.8058255129480651
2022-12-09,2.6971735371859838e-05,0.04122093829379457,0.011156040367438093,0.7530486829636909,0.8054256616249236
2022-12-12,2.7150358206961986e-05,0.04088765137265075,0.011864935017165408,0.7522099612562525,0.8049625476460687
2022-12-13,2.7296966450939975e-05,0.04057512600132551,0.011732646531362682,0.7525894299354782,0.8048972024681663
2022-12-14,2.7453516028131917e-05,0.04029614821158215,0.01163646256681447,0.7529391125830356,0.8048717233614322
2022-12-15,2.7609129125414624e-05,0.040088654043927655,0.011592729914778416,0.7530539084712986,0.8047352924300046
2022-12-16,2.778398070808759e-05,0.04006448046223915,0.011705289580122413,0.7529972969488892,0.8047670669912508
2022-12-19,2.7968252658621452e-05,0.04029912614444757,0.01205940927199304,0.7522203363241096,0.8045788717405502
2022-12-20,2.815222724019337e-05,0.04078143429693601,0.012650130191682943,0.7506941941432994,0.8041257586319184
